Stimulus(s),S21(Real),S21(Imag)
3.76075215043E-08,+2.30769126467E-08,+8.05096893180E-08
3.78075615123E-08,+6.13106265305E-08,+6.51545938573E-08
3.80076015203E-08,+8.12441004567E-08,+2.85346591288E-08
3.82076415283E-08,+7.03485450322E-08,-6.73479550312E-09
3.84076815363E-08,+4.61626839725E-08,-1.59454044672E-08
3.86077215443E-08,+4.00008145896E-08,-7.11859194022E-09
3.88077615523E-08,+5.31700315104E-08,-1.44748248906E-08
3.90078015603E-08,+4.90619250630E-08,-4.93527885563E-08
3.92078415683E-08,+2.10325831010E-09,-7.47246338181E-08
3.94078815763E-08,-5.79495974530E-08,-4.69474139663E-08
3.96079215843E-08,-7.21963940659E-08,+2.29905039488E-08
3.98079615923E-08,-2.45871319054E-08,+7.20917807483E-08
4.00080016003E-08,+3.22303758134E-08,+5.76813278524E-08
4.02080416083E-08,+3.70420225190E-08,+1.12683649614E-08
4.04080816163E-08,-4.41203040208E-09,+2.21012348286E-09
4.06081216243E-08,-2.39514291630E-08,+5.16479418667E-08
4.08081616323E-08,+2.64333398634E-08,+1.02369881266E-07
4.10082016403E-08,+1.13193573664E-07,+8.31984250008E-08
4.12082416483E-08,+1.54608124607E-07,-8.60496312335E-09
4.14082816563E-08,+1.07943017234E-07,-1.02683601911E-07
4.16083216643E-08,+9.89973667261E-09,-1.28742709854E-07
4.18083616723E-08,-6.73506973483E-08,-8.04158537367E-08
4.20084016803E-08,-8.46609021543E-08,-6.16145634490E-09
4.22084416883E-08,-5.56159878479E-08,+4.58951819318E-08
4.24084816963E-08,-1.48057547469E-08,+6.20033971171E-08
4.26085217043E-08,+1.46439150093E-08,+5.38105560811E-08
4.28085617123E-08,+2.57817662817E-08,+3.81742019914E-08
4.30086017203E-08,+2.24864494777E-08,+3.07639381480E-08
4.32086417283E-08,+2.13024527411E-08,+4.11166490419E-08
4.34086817363E-08,+4.49858503354E-08,+5.73798643196E-08
4.36087217443E-08,+9.42006848760E-08,+4.39869977521E-08
4.38087617524E-08,+1.27008559532E-07,-2.32640709603E-08
4.40088017604E-08,+8.87098491615E-08,-1.13103764521E-07
4.42088417684E-08,-2.28960880197E-08,-1.47899567376E-07
4.44088817764E-08,-1.32401723586E-07,-7.73773881700E-08
4.46089217844E-08,-1.48113419378E-07,+5.77307312092E-08
4.48089617924E-08,-5.47146353647E-08,+1.52933012449E-07
4.50090018004E-08,+6.69544818340E-08,+1.39901341903E-07
4.52090418084E-08,+1.21173680206E-07,+5.11850357364E-08
4.54090818164E-08,+9.06862117450E-08,-2.27261434368E-08
4.56091218244E-08,+3.87411503658E-08,-3.22713226157E-08
4.58091618324E-08,+2.52708788050E-08,-9.46246359730E-09
4.60092018404E-08,+4.14094421372E-08,-1.12049659929E-08
4.62092418484E-08,+3.57283429807E-08,-4.33961946142E-08
4.64092818564E-08,-1.07499886297E-08,-5.87783146991E-08
4.66093218644E-08,-5.80560709888E-08,-2.28307196686E-08
4.68093618724E-08,-5.73301487177E-08,+4.04761282158E-08
4.70094018804E-08,-8.72251094043E-09,+7.74304998662E-08
4.72094418884E-08,+4.35553767821E-08,+6.51181223595E-08
4.74094818964E-08,+6.44247116315E-08,+2.78255693727E-08
4.76095219044E-08,+5.85171552751E-08,-1.83202455097E-09
4.78095619124E-08,+4.71155309446E-08,-1.88235894310E-08
4.80096019204E-08,+3.33199442338E-08,-3.50973033849E-08
4.82096419284E-08,+4.91326222556E-09,-4.76134954638E-08
4.84096819364E-08,-3.49805943236E-08,-3.57475731433E-08
4.86097219444E-08,-5.84528956346E-08,+8.12837977962E-09
4.88097619524E-08,-4.11401363108E-08,+5.95648499503E-08
4.90098019604E-08,+8.76278656580E-09,+8.26137077659E-08
4.92098419684E-08,+5.78858361843E-08,+6.42278490175E-08
4.94098819764E-08,+7.94108251746E-08,+2.12614320008E-08
4.96099219844E-08,+6.96319693009E-08,-2.13906631497E-08
4.98099619924E-08,+3.78491804755E-08,-4.83850664112E-08
5.00100020004E-08,-5.10444245271E-09,-5.08680146926E-08
5.02100420084E-08,-4.25293259706E-08,-2.23633018519E-08
5.04100820164E-08,-4.95192653661E-08,+2.91885747356E-08
