Stimulus(Hz),S21(dB)
3.95700570057E+09,-7.78178745839E+01
3.95710571057E+09,-7.78200288363E+01
3.95720572057E+09,-7.78434207678E+01
3.95730573057E+09,-7.77925900001E+01
3.95740574057E+09,-7.78076028179E+01
3.95750575058E+09,-7.78591146746E+01
3.95760576058E+09,-7.78012611418E+01
3.95770577058E+09,-7.77868055353E+01
3.95780578058E+09,-7.77779980518E+01
3.95790579058E+09,-7.77947888523E+01
3.95800580058E+09,-7.77749988217E+01
3.95810581058E+09,-7.78019868472E+01
3.95820582058E+09,-7.77954433582E+01
3.95830583058E+09,-7.77561197493E+01
3.95840584058E+09,-7.77769100914E+01
3.95850585059E+09,-7.78199535430E+01
3.95860586059E+09,-7.77739437221E+01
3.95870587059E+09,-7.77837767242E+01
3.95880588059E+09,-7.77232350413E+01
3.95890589059E+09,-7.77846517972E+01
3.95900590059E+09,-7.77571098354E+01
3.95910591059E+09,-7.77290661885E+01
3.95920592059E+09,-7.77942878341E+01
3.95930593059E+09,-7.77482088899E+01
3.95940594059E+09,-7.77184075239E+01
3.95950595060E+09,-7.77734100907E+01
3.95960596060E+09,-7.77372652944E+01
3.95970597060E+09,-7.77189377628E+01
3.95980598060E+09,-7.77207160718E+01
3.95990599060E+09,-7.77426581744E+01
3.96000600060E+09,-7.76998609931E+01
3.96010601060E+09,-7.76793724082E+01
3.96020602060E+09,-7.77265354985E+01
3.96030603060E+09,-7.77263310806E+01
3.96040604060E+09,-7.76706407212E+01
3.96050605061E+09,-7.76924009885E+01
3.96060606061E+09,-7.77148285735E+01
3.96070607061E+09,-7.76807323750E+01
3.96080608061E+09,-7.76586067631E+01
3.96090609061E+09,-7.77125712296E+01
3.96100610061E+09,-7.77364171327E+01
3.96110611061E+09,-7.76926983175E+01
3.96120612061E+09,-7.76314951511E+01
3.96130613061E+09,-7.77016034866E+01
3.96140614061E+09,-7.77154900501E+01
3.96150615062E+09,-7.77247587810E+01
3.96160616062E+09,-7.77254067042E+01
3.96170617062E+09,-7.76789295070E+01
3.96180618062E+09,-7.76865166844E+01
3.96190619062E+09,-7.77032069804E+01
3.96200620062E+09,-7.77385677889E+01
3.96210621062E+09,-7.76945043680E+01
3.96220622062E+09,-7.76481471148E+01
3.96230623062E+09,-7.77084730762E+01
3.96240624062E+09,-7.76384933988E+01
3.96250625063E+09,-7.75923904877E+01
3.96260626063E+09,-7.76302577282E+01
3.96270627063E+09,-7.77026914729E+01
