Stimulus(s),S21(Real)
2.63824382438E-07,+1.03414339626E-08
2.63832383238E-07,+6.39160529916E-09
2.63840384038E-07,+2.13473993915E-09
2.63848384838E-07,-2.21220546897E-09
2.63856385639E-07,-6.42855036980E-09
2.63864386439E-07,-1.03011945791E-08
2.63872387239E-07,-1.36354893664E-08
2.63880388039E-07,-1.62651152630E-08
2.63888388839E-07,-1.80604601091E-08
2.63896389639E-07,-1.89350707064E-08
2.63904390439E-07,-1.88498532777E-08
2.63912391239E-07,-1.78148163292E-08
2.63920392039E-07,-1.58882781852E-08
2.63928392839E-07,-1.31735936251E-08
2.63936393639E-07,-9.81358272715E-09
2.63944394439E-07,-5.98296349336E-09
2.63952395240E-07,-1.87919189202E-09
2.63960396040E-07,+2.28780664467E-09
2.63968396840E-07,+6.30647561583E-09
2.63976397640E-07,+9.97447097361E-09
2.63984398440E-07,+1.31089485974E-08
2.63992399240E-07,+1.55557674662E-08
2.64000400040E-07,+1.71971406015E-08
2.64008400840E-07,+1.79573502237E-08
2.64016401640E-07,+1.78062473673E-08
2.64024402440E-07,+1.67603738342E-08
2.64032403240E-07,+1.48816695267E-08
2.64040404040E-07,+1.22738542453E-08
2.64048404840E-07,+9.07669332783E-09
2.64056405641E-07,+5.45846474299E-09
2.64064406441E-07,+1.60703586388E-09
2.64072407241E-07,-2.27997349818E-09
2.64080408041E-07,-6.00542249511E-09
2.64088408841E-07,-9.38274069501E-09
2.64096409641E-07,-1.22453582786E-08
2.64104410441E-07,-1.44549939263E-08
2.64112411241E-07,-1.59083843710E-08
2.64120412041E-07,-1.65421256837E-08
2.64128412841E-07,-1.63353987627E-08
2.64136413641E-07,-1.53104645976E-08
2.64144414441E-07,-1.35309326133E-08
2.64152415242E-07,-1.10979214831E-08
2.64160416042E-07,-8.14434013923E-09
2.64168416842E-07,-4.82761168295E-09
2.64176417642E-07,-1.32123966832E-09
2.64184418442E-07,+2.19432900704E-09
2.64192419242E-07,+5.54106021797E-09
2.64200420042E-07,+8.55241904744E-09
2.64208420842E-07,+1.10817192737E-08
2.64216421642E-07,+1.30093142680E-08
2.64224422442E-07,+1.42482747397E-08
2.64232423242E-07,+1.47482834162E-08
2.64240424042E-07,+1.44975742379E-08
2.64248424842E-07,+1.35228486193E-08
2.64256425643E-07,+1.18872081213E-08
2.64264426443E-07,+9.68624580942E-09
2.64272427243E-07,+7.04253227555E-09
2.64280428043E-07,+4.09881196955E-09
2.64288428843E-07,+1.01028715476E-09
2.64296429643E-07,-2.06359247475E-09
2.64304430443E-07,-4.96739847996E-09
2.64312431243E-07,-7.55761989512E-09
2.64320432043E-07,-9.70978402690E-09
2.64328432843E-07,-1.13244473579E-08
2.64336433643E-07,-1.23317682504E-08
2.64344434443E-07,-1.26944531661E-08
2.64352435244E-07,-1.24089574796E-08
2.64360436044E-07,-1.15049157451E-08
2.64368436844E-07,-1.00428694239E-08
2.64376437644E-07,-8.11044767930E-09
2.64384438444E-07,-5.81723436725E-09
2.64392439244E-07,-3.28861791459E-09
2.64400440044E-07,-6.58967312755E-10
2.64408440844E-07,+1.93549511923E-09
2.64416441644E-07,+4.36374626230E-09
2.64424442444E-07,+6.50657485063E-09
2.64432443244E-07,+8.26242078773E-09
2.64440444044E-07,+9.55215616453E-09
