Stimulus(Hz),S11(dB)
3.45699616996E+07,-1.01858080547E-01
3.46599615996E+07,-9.48084731088E-02
3.47499614996E+07,-9.94202090828E-02
3.48399613996E+07,-1.04930566133E-01
3.49299612996E+07,-9.86196653268E-02
3.50199611996E+07,-9.64094986888E-02
3.51099610996E+07,-1.04352140452E-01
3.51999609996E+07,-1.03424047491E-01
3.52899608996E+07,-9.66346942064E-02
3.53799607996E+07,-1.01349494032E-01
3.54699606996E+07,-1.06761093984E-01
3.55599605996E+07,-1.00000315453E-01
3.56499604996E+07,-9.83081329730E-02
3.57399603996E+07,-1.06640466386E-01
3.58299602996E+07,-1.05174236883E-01
3.59199601996E+07,-9.82253652029E-02
3.60099600996E+07,-1.03509678278E-01
3.60999599996E+07,-1.08648001487E-01
3.61899598996E+07,-1.01538600574E-01
3.62799597996E+07,-1.00148985849E-01
3.63699596996E+07,-1.08468330416E-01
3.64599595996E+07,-1.07034866818E-01
3.65499594996E+07,-9.97652860849E-02
3.66399593996E+07,-1.05576874731E-01
3.67299592996E+07,-1.10336744624E-01
3.68199591996E+07,-1.03092666377E-01
3.69099590996E+07,-1.02031316865E-01
3.69999589996E+07,-1.10131392784E-01
3.70899588996E+07,-1.08373315216E-01
3.71799587996E+07,-1.01622012984E-01
3.72699586996E+07,-1.07320848071E-01
3.73599585996E+07,-1.12126489327E-01
3.74499584996E+07,-1.04791848200E-01
3.75399583996E+07,-1.03958164771E-01
3.76299582996E+07,-1.12442211015E-01
3.77199581996E+07,-1.09969678606E-01
3.78099580996E+07,-1.03064501833E-01
3.78999579996E+07,-1.09475878878E-01
3.79899578996E+07,-1.14026928216E-01
3.80799577996E+07,-1.06367260729E-01
3.81699576996E+07,-1.05760946434E-01
3.82599575996E+07,-1.14220360114E-01
3.83499574996E+07,-1.11572690983E-01
3.84399573996E+07,-1.04964699368E-01
3.85299572996E+07,-1.11617792579E-01
3.86199571996E+07,-1.15820000358E-01
3.87099570996E+07,-1.07908173969E-01
3.87999569996E+07,-1.07970247960E-01
3.88899568996E+07,-1.16532839778E-01
3.89799567996E+07,-1.13144943485E-01
3.90699566996E+07,-1.06575145163E-01
3.91599565996E+07,-1.13956051084E-01
3.92499564996E+07,-1.17797964766E-01
3.93399563996E+07,-1.09579089100E-01
3.94299562996E+07,-1.10239402981E-01
3.95199561996E+07,-1.18879880795E-01
3.96099560996E+07,-1.15003352837E-01
3.96999559996E+07,-1.08685760206E-01
3.97899558996E+07,-1.16261851097E-01
3.98799557996E+07,-1.19731617059E-01
3.99699556996E+07,-1.11573370445E-01
4.00599555996E+07,-1.12347708891E-01
4.01499554996E+07,-1.20938668924E-01
4.02399553996E+07,-1.17131776873E-01
4.03299552996E+07,-1.10672586422E-01
4.04199551996E+07,-1.18413326940E-01
4.05099550996E+07,-1.21851064448E-01
4.05999549995E+07,-1.13396348001E-01
4.06899548995E+07,-1.14667982916E-01
4.07799547995E+07,-1.23337383906E-01
4.08699546995E+07,-1.18861117236E-01
4.09599545995E+07,-1.12843671438E-01
4.10499544995E+07,-1.21067576564E-01
4.11399543995E+07,-1.23803212151E-01
4.12299542995E+07,-1.15257341940E-01
4.13199541995E+07,-1.16948427893E-01
4.14099540995E+07,-1.25365065368E-01
4.14999539995E+07,-1.20692846712E-01
4.15899538995E+07,-1.14642666690E-01
4.16799537995E+07,-1.23040355670E-01
