Stimulus(s),S21(dB)
4.23042304230E-08,-1.38857046066E+02
4.24042404240E-08,-1.39162083285E+02
4.25042504250E-08,-1.39403711583E+02
4.26042604260E-08,-1.39612635941E+02
4.27042704270E-08,-1.39825637324E+02
4.28042804280E-08,-1.40088300001E+02
4.29042904290E-08,-1.40455292260E+02
4.30043004300E-08,-1.40988566706E+02
4.31043104310E-08,-1.41755884456E+02
4.32043204320E-08,-1.42831187346E+02
4.33043304330E-08,-1.44294607371E+02
4.34043404340E-08,-1.46217479554E+02
4.35043504350E-08,-1.48563830911E+02
4.36043604360E-08,-1.50782265293E+02
4.37043704370E-08,-1.51411138032E+02
4.38043804380E-08,-1.50224374855E+02
4.39043904390E-08,-1.48747904209E+02
4.40044004400E-08,-1.47765159649E+02
4.41044104410E-08,-1.47433104754E+02
4.42044204420E-08,-1.47785198242E+02
4.43044304430E-08,-1.48882374767E+02
4.44044404440E-08,-1.50845321513E+02
4.45044504450E-08,-1.53702001294E+02
4.46044604460E-08,-1.55984280687E+02
4.47044704470E-08,-1.54292283011E+02
4.48044804480E-08,-1.51215176192E+02
4.49044904490E-08,-1.48926616933E+02
4.50045004500E-08,-1.47513512414E+02
4.51045104510E-08,-1.46841417244E+02
4.52045204520E-08,-1.46837158262E+02
4.53045304530E-08,-1.47501154421E+02
4.54045404540E-08,-1.48905893540E+02
4.55045504550E-08,-1.51165073474E+02
4.56045604560E-08,-1.53999661108E+02
4.57045704570E-08,-1.54721057211E+02
4.58045804580E-08,-1.51831604854E+02
4.59045904590E-08,-1.48746947127E+02
4.60046004600E-08,-1.46443585827E+02
4.61046104610E-08,-1.44820799214E+02
4.62046204620E-08,-1.43727902752E+02
4.63046304630E-08,-1.43064431721E+02
4.64046404640E-08,-1.42771711823E+02
4.65046504650E-08,-1.42822355427E+02
4.66046604660E-08,-1.43215745600E+02
4.67046704670E-08,-1.43978348475E+02
4.68046804680E-08,-1.45166325690E+02
4.69046904690E-08,-1.46858554406E+02
4.70047004700E-08,-1.49065347547E+02
4.71047104710E-08,-1.51182088311E+02
4.72047204720E-08,-1.51116288963E+02
4.73047304730E-08,-1.48681217311E+02
4.74047404740E-08,-1.46035089289E+02
4.75047504750E-08,-1.43909953919E+02
4.76047604760E-08,-1.42319666859E+02
4.77047704770E-08,-1.41180938967E+02
4.78047804780E-08,-1.40420835210E+02
4.79047904790E-08,-1.39982144300E+02
4.80048004800E-08,-1.39814038024E+02
4.81048104810E-08,-1.39860776454E+02
4.82048204820E-08,-1.40050685754E+02
4.83048304830E-08,-1.40290248597E+02
4.84048404840E-08,-1.40474594746E+02
4.85048504850E-08,-1.40523402478E+02
4.86048604860E-08,-1.40424512597E+02
4.87048704870E-08,-1.40243028683E+02
4.88048804880E-08,-1.40085633495E+02
4.89048904890E-08,-1.40058256858E+02
4.90049004900E-08,-1.40247053498E+02
4.91049104910E-08,-1.40720034195E+02
4.92049204920E-08,-1.41535936136E+02
4.93049304930E-08,-1.42749830023E+02
4.94049404940E-08,-1.44399655110E+02
4.95049504950E-08,-1.46416145085E+02
4.96049604960E-08,-1.48294983656E+02
4.97049704970E-08,-1.48810275077E+02
4.98049804980E-08,-1.47612251412E+02
4.99049904990E-08,-1.45902388855E+02
5.00050005001E-08,-1.44434474972E+02
5.01050105011E-08,-1.43354682264E+02
5.02050205021E-08,-1.42624451805E+02
5.03050305031E-08,-1.42170798584E+02
5.04050405041E-08,-1.41921351090E+02
5.05050505051E-08,-1.41814255652E+02
5.06050605061E-08,-1.41805032061E+02
5.07050705071E-08,-1.41871884028E+02
5.08050805081E-08,-1.42015284571E+02
5.09050905091E-08,-1.42248909145E+02
5.10051005101E-08,-1.42582664691E+02
5.11051105111E-08,-1.42999834353E+02
5.12051205121E-08,-1.43431082564E+02
5.13051305131E-08,-1.43739907782E+02
5.14051405141E-08,-1.43760969872E+02
5.15051505151E-08,-1.43413017136E+02
5.16051605161E-08,-1.42780540801E+02
5.17051705171E-08,-1.42049806813E+02
5.18051805181E-08,-1.41393751585E+02
5.19051905191E-08,-1.40925675317E+02
5.20052005201E-08,-1.40709673490E+02
5.21052105211E-08,-1.40782850604E+02
5.22052205221E-08,-1.41171852419E+02
5.23052305231E-08,-1.41902891775E+02
5.24052405241E-08,-1.43007572802E+02
5.25052505251E-08,-1.44525094299E+02
5.26052605261E-08,-1.46495899729E+02
5.27052705271E-08,-1.48923632922E+02
5.28052805281E-08,-1.51628237248E+02
5.29052905291E-08,-1.53920120458E+02
5.30053005301E-08,-1.54882513510E+02
5.31053105311E-08,-1.54885440101E+02
5.32053205321E-08,-1.54998083499E+02
5.33053305331E-08,-1.55720947884E+02
5.34053405341E-08,-1.56927709836E+02
5.35053505351E-08,-1.57467828694E+02
5.36053605361E-08,-1.55918693097E+02
5.37053705371E-08,-1.53332149959E+02
5.38053805381E-08,-1.51017067300E+02
5.39053905391E-08,-1.49271830077E+02
5.40054005401E-08,-1.48064034800E+02
5.41054105411E-08,-1.47314840688E+02
5.42054205421E-08,-1.46950862320E+02
5.43054305431E-08,-1.46906494622E+02
5.44054405441E-08,-1.47119327598E+02
5.45054505451E-08,-1.47529220416E+02
5.46054605461E-08,-1.48086184888E+02
5.47054705471E-08,-1.48768484156E+02
5.48054805481E-08,-1.49604363742E+02
5.49054905491E-08,-1.50685004850E+02
5.50055005501E-08,-1.52159171265E+02
5.51055105511E-08,-1.54174155724E+02
5.52055205521E-08,-1.56461727687E+02
5.53055305531E-08,-1.56925871899E+02
5.54055405541E-08,-1.54284184856E+02
5.55055505551E-08,-1.51167631580E+02
5.56055605561E-08,-1.48678205005E+02
5.57055705571E-08,-1.46837892015E+02
5.58055805581E-08,-1.45540186099E+02
5.59055905591E-08,-1.44700239766E+02
5.60056005601E-08,-1.44260846583E+02
5.61056105611E-08,-1.44183193452E+02
5.62056205621E-08,-1.44437620762E+02
5.63056305631E-08,-1.44993875682E+02
5.64056405641E-08,-1.45807932484E+02
5.65056505651E-08,-1.46802800664E+02
5.66056605661E-08,-1.47847128481E+02
5.67056705671E-08,-1.48755415094E+02
5.68056805681E-08,-1.49349185258E+02
5.69056905691E-08,-1.49554171871E+02
5.70057005701E-08,-1.49410162537E+02
5.71057105711E-08,-1.48978296592E+02
5.72057205721E-08,-1.48287916983E+02
5.73057305731E-08,-1.47375036628E+02
5.74057405741E-08,-1.46328009567E+02
5.75057505751E-08,-1.45273447371E+02
5.76057605761E-08,-1.44331895187E+02
5.77057705771E-08,-1.43593319075E+02
5.78057805781E-08,-1.43118678666E+02
5.79057905791E-08,-1.42952277168E+02
5.80058005801E-08,-1.43135157925E+02
5.81058105811E-08,-1.43718322348E+02
5.82058205821E-08,-1.44779760318E+02
5.83058305831E-08,-1.46455916061E+02
5.84058405841E-08,-1.49019955558E+02
5.85058505851E-08,-1.53144477167E+02
5.86058605861E-08,-1.61264408175E+02
5.87058705871E-08,-1.63089459750E+02
5.88058805881E-08,-1.54649113022E+02
5.89058905891E-08,-1.50818917612E+02
5.90059005901E-08,-1.48665146144E+02
5.91059105911E-08,-1.47393792095E+02
5.92059205921E-08,-1.46650174312E+02
5.93059305931E-08,-1.46198905347E+02
5.94059405941E-08,-1.45840055617E+02
5.95059505951E-08,-1.45412491309E+02
5.96059605961E-08,-1.44840043435E+02
5.97059705971E-08,-1.44153377655E+02
5.98059805981E-08,-1.43448105689E+02
5.99059905991E-08,-1.42822315578E+02
6.00060006001E-08,-1.42343715857E+02
6.01060106011E-08,-1.42046853779E+02
6.02060206021E-08,-1.41941304662E+02
6.03060306031E-08,-1.42019722788E+02
6.04060406041E-08,-1.42263500792E+02
6.05060506051E-08,-1.42647450466E+02
6.06060606061E-08,-1.43145617763E+02
6.07060706071E-08,-1.43739395621E+02
6.08060806081E-08,-1.44426791646E+02
